target_y,target_x,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,session_1.thisRepN,session_1.thisTrialN,session_1.thisN,session_1.thisIndex,session_2.thisRepN,session_2.thisTrialN,session_2.thisN,session_2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready.stopped,fix.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,target.started,star.started,fixation_cross_target.started,key_resp.started,star.stopped,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,session_1.key_control2.keys,session_1.key_control2.rt,session_1.key_control2.duration,session_1.key_resp.keys,session_1.key_resp.rt,session_1.key_resp.duration,break_2.started,text.started,key_control3.started,break_2.stopped,key_control3.keys,session_2.key_control2.keys,session_2.key_control2.rt,session_2.key_control2.duration,session_2.key_resp.keys,session_2.key_resp.rt,session_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.007475600000361737,0.024790499999653548,0.024790499999653548,3153.7893098999994,up,3153.7538016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3153.7893917,3153.8011575,3156.7969780999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
0.31,0.005,0,0,0,up,6.216449499999726,None,space,0.4133213999994041,None,0,0,0,1,,,,,,,,,3156.8179880999996,,,,,,,,,,,,3156.8085494000006,3156.8179880999996,3156.8179880999996,3163.0416442999995,up,6.216449499999726,None,3163.0420238999995,3163.057038499999,3163.057038499999,3163.057038499999,3163.3567860000003,3163.4745607999994,space,0.4133213999994041,None,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
0.005,0.31,1,1,0,down,4.375390499999412,None,space,0.3071842999997898,None,0,1,1,6,,,,,,,,,3163.4899471999997,,,,,,,,,,,,3163.4747898000005,3163.4899471999997,3163.4899471999997,3167.8700721999994,down,4.375390499999412,None,3167.8704166000007,3167.8854419,3167.8854419,3167.8854419,3168.1852084,3168.2030866000005,space,0.3071842999997898,None,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
-0.31,0.005,2,2,0,up,2.9031978999992134,None,space,0.343900300000314,None,0,2,2,2,,,,,,,,,3168.2184264000007,,,,,,,,,,,,3168.2033119999996,3168.2184264000007,3168.2184264000007,3171.1333066999996,up,2.9031978999992134,None,3171.1336489000005,3171.1488972000006,3171.1488972000006,3171.1488972000006,3171.4484759000006,3171.4995655000002,space,0.343900300000314,None,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
0.005,-0.31,3,3,0,down,3.085898100000122,None,space,0.2943463999999949,None,0,3,3,5,,,,,,,,,3171.5151485000006,,,,,,,,,,,,3171.4997968000007,3171.5151485000006,3171.5151485000006,3174.6130494999998,down,3.085898100000122,None,3174.613384099999,3174.6285907,3174.6285907,3174.6285907,3174.9282989000003,3174.9294248000006,space,0.2943463999999949,None,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
0.31,0.005,4,4,0,up,3.3849599000004673,None,space,0.4257751000004646,None,0,4,4,3,,,,,,,,,3174.944963,,,,,,,,,,,,3174.9296488,3174.944963,3174.944963,3178.3426096999992,up,3.3849599000004673,None,3178.3429775999994,3178.3580261999996,3178.3580261999996,3178.3580261999996,3178.6578329999993,3178.7921621999994,space,0.4257751000004646,None,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
0.005,10,5,5,0,down,2.858472100000654,None,None,,,0,5,5,9,,,,,,,,,3178.8075998999993,,,,,,,,,,,,3178.7923857000005,3178.8075998999993,3178.8075998999993,3181.672409499999,down,2.858472100000654,None,3181.6727486,3181.6879979000005,3181.6879979000005,3181.6879979000005,3181.987688699999,3184.6851258000006,None,,,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
0.005,0.31,6,6,0,down,3.0995309999998426,None,space,0.33534270000018296,None,0,6,6,8,,,,,,,,,3184.7016822000005,,,,,,,,,,,,3184.6853396000006,3184.7016822000005,3184.7016822000005,3187.8161509,down,3.0995309999998426,None,3187.816487100001,3187.8317647000003,3187.8317647000003,3187.8317647000003,3188.1313867999997,3188.182634999999,space,0.33534270000018296,None,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
10,0.005,7,7,0,up,2.3070260000004055,None,None,,,0,7,7,4,,,,,,,,,3188.198034700001,,,,,,,,,,,,3188.1828674000008,3188.198034700001,3188.198034700001,3190.5135348999993,up,2.3070260000004055,None,3190.5138726000005,3190.5290674000007,3190.5290674000007,3190.5290674000007,3190.8286852,3193.5260134,None,,,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
-0.31,0.005,8,8,0,down,0.7950104999999894,None,space,0.4290361000003031,None,0,8,8,0,,,,,,,,,3193.5425166999994,,,,,,,,,,,,3193.526232,3193.5425166999994,3193.5425166999994,3194.3428251999994,down,0.7950104999999894,None,3194.3431617000006,3194.3583529000007,3194.3583529000007,3194.3583529000007,3194.6581585000004,3194.7926000999996,space,0.4290361000003031,None,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
0.005,-0.31,9,9,0,up,4.713623300000108,None,space,0.39953630000127305,None,0,9,9,7,,,,,,,,,3194.8079017,,,,,,,,,,,,3194.792824099999,3194.8079017,3194.8079017,3199.537470199999,up,4.713623300000108,None,3199.5378055,3199.5531114000005,3199.5531114000005,3199.5531114000005,3199.8528038999993,3199.9540268,space,0.39953630000127305,None,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3199.954177399999,3199.969207099999,3202.9662756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
-0.31,0.005,0,0,0,down,2.4655072999994445,None,space,0.4482148999995843,None,,,,,0,0,0,0,,,,,3202.983723199999,,,,,,,,,,,,3202.972061299999,3202.983723199999,3202.983723199999,3205.4662688999997,,,,3205.4670229000003,3205.4807242000006,3205.4807242000006,3205.4807242000006,3205.7802926000004,3205.9327952999993,,,,down,2.4655072999994445,None,space,0.4482148999995843,None,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
0.005,0.31,1,1,0,down,5.2623465999986365,None,space,0.4405455999985861,None,,,,,0,1,1,8,,,,,3205.9468242000003,,,,,,,,,,,,3205.9333389999993,3205.9468242000003,3205.9468242000003,3211.2257069999996,,,,3211.226201199999,3211.240835999999,3211.240835999999,3211.240835999999,3211.5409512999995,3211.6915179000007,,,,down,5.2623465999986365,None,space,0.4405455999985861,None,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
0.005,0.31,2,2,0,up,2.1982719999996334,None,space,0.4191296000008151,None,,,,,0,2,2,6,,,,,3211.7073187999995,,,,,,,,,,,,3211.6917335,3211.7073187999995,3211.7073187999995,3213.922711200001,,,,3213.9230324,3213.938765499999,3213.938765499999,3213.938765499999,3214.2380713000002,3214.3723105999998,,,,up,2.1982719999996334,None,space,0.4191296000008151,None,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
0.31,0.005,3,3,0,down,3.5822735999990982,None,space,0.42110610000054294,None,,,,,0,3,3,3,,,,,3214.3877795999997,,,,,,,,,,,,3214.3725354,3214.3877795999997,3214.3877795999997,3217.9850602999995,,,,3217.985378900001,3218.0008454,3218.0008454,3218.0008454,3218.3005415999996,3218.4353119999996,,,,down,3.5822735999990982,None,space,0.42110610000054294,None,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
10,0.005,4,4,0,down,3.5746634999995877,None,None,,,,,,,0,4,4,4,,,,,3218.450461299999,,,,,,,,,,,,3218.4355290000003,3218.450461299999,3218.450461299999,3222.031094599999,,,,3222.031415199999,3222.0468024,3222.0468024,3222.0468024,3222.3464416000006,3225.0437846000004,,,,down,3.5746634999995877,None,None,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
0.005,10,5,5,0,up,2.0210943999991287,None,None,,,,,,,0,5,5,9,,,,,3225.0603071000005,,,,,,,,,,,,3225.0439960999993,3225.0603071000005,3225.0603071000005,3227.092434800001,,,,3227.0927598,3227.1081433,3227.1081433,3227.1081433,3227.40797,3230.1053152999993,,,,up,2.0210943999991287,None,None,,,,,,,,,,,,,,P105,001,2024-11-15_10h07.20.578,posner_endo_new1,2024.2.4,60.20665331710967,2024-11-15 10h07.29.011246 +0000,
