target_y,target_x,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,session_1.thisRepN,session_1.thisTrialN,session_1.thisN,session_1.thisIndex,session_2.thisRepN,session_2.thisTrialN,session_2.thisN,session_2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready.stopped,fix.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,target.started,star.started,fixation_cross_target.started,key_resp.started,star.stopped,key_resp.stopped,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,session_1.key_control2.keys,session_1.key_control2.rt,session_1.key_control2.duration,session_1.key_resp.keys,session_1.key_resp.rt,session_1.key_resp.duration,break_2.started,text.started,key_control3.started,break_2.stopped,key_control3.keys,session_2.key_control2.keys,session_2.key_control2.rt,session_2.key_control2.duration,session_2.key_resp.keys,session_2.key_resp.rt,session_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.007361599999967439,0.021106900000631867,0.021106900000631867,604.3044672000005,up,604.2751607999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P118,001,2024-11-20_09h55.25.111,posner_endo_new1,2024.2.4,60.16941299928643,2024-11-20 09h55.31.483454 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.3045218000007,604.3203248,607.3173950999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P118,001,2024-11-20_09h55.25.111,posner_endo_new1,2024.2.4,60.16941299928643,2024-11-20 09h55.31.483454 +0000,
10,0.005,0,0,0,up,34.02498360000027,None,None,,,0,0,0,4,,,,,,,,,607.3351014999998,,,,,,,,,,,,607.3241432000004,607.3351014999998,607.3351014999998,641.3664743999998,up,34.02498360000027,None,641.3667397999998,641.3824020000002,641.3824020000002,641.3824020000002,641.6820355999998,642.3978830000005,644.3793323999998,None,,,,,,,,,,,,,,,,,,,,P118,001,2024-11-20_09h55.25.111,posner_endo_new1,2024.2.4,60.16941299928643,2024-11-20 09h55.31.483454 +0000,
0.005,-0.31,1,1,0,down,6.820171300000766,None,space,0.5447512000000643,None,0,1,1,5,,,,,,,,,644.3958563000006,,,,,,,,,,,,644.3794840999999,644.3958563000006,644.3958563000006,651.2232170000007,down,6.820171300000766,None,651.2234533999999,651.2391533,651.2391533,651.2391533,651.5387650000002,,651.7887203999999,space,0.5447512000000643,None,,,,,,,,,,,,,,,,,,P118,001,2024-11-20_09h55.25.111,posner_endo_new1,2024.2.4,60.16941299928643,2024-11-20 09h55.31.483454 +0000,
0.005,0.31,2,2,0,up,4.354715200000101,None,space,0.5163787000001321,None,0,2,2,8,,,,,,,,,651.8051243,,,,,,,,,,,,651.7888834000005,651.8051243,651.8051243,656.1680114999999,up,4.354715200000101,None,656.1682470000005,656.1837715000001,656.1837715000001,656.1837715000001,656.4832059999999,,656.7008866000006,space,0.5163787000001321,None,,,,,,,,,,,,,,,,,,P118,001,2024-11-20_09h55.25.111,posner_endo_new1,2024.2.4,60.16941299928643,2024-11-20 09h55.31.483454 +0000,
0.005,10,3,3,0,down,3.0349474999993618,None,None,,,0,3,3,9,,,,,,,,,656.7167146000002,,,,,,,,,,,,656.7010397000004,656.7167146000002,656.7167146000002,659.7644571000001,down,3.0349474999993618,None,659.7646924999999,659.7802430000002,659.7802430000002,659.7802430000002,660.0795471000001,660.7789268000006,662.777169,None,,,,,,,,,,,,,,,,,,,,P118,001,2024-11-20_09h55.25.111,posner_endo_new1,2024.2.4,60.16941299928643,2024-11-20 09h55.31.483454 +0000,
0.005,0.31,4,4,0,up,1.6944639000003008,None,space,0.3470837000004394,None,0,4,4,6,,,,,,,,,662.7937567999998,,,,,,,,,,,,662.7773194000001,662.7937567999998,662.7937567999998,664.4929093999999,up,1.6944639000003008,None,664.4931464000001,664.5088409,664.5088409,664.5088409,664.8085102000005,,664.8590430000004,space,0.3470837000004394,None,,,,,,,,,,,,,,,,,,P118,001,2024-11-20_09h55.25.111,posner_endo_new1,2024.2.4,60.16941299928643,2024-11-20 09h55.31.483454 +0000,
0.31,0.005,5,5,0,down,3.6210093999998207,None,space,0.43364829999973153,None,0,5,5,3,,,,,,,,,664.8751002999998,,,,,,,,,,,,664.8591975999998,664.8751002999998,664.8751002999998,668.5054432000006,down,3.6210093999998207,None,668.5056775000003,668.5209654999999,668.5209654999999,668.5209654999999,668.8209246000006,,668.9716038000006,space,0.43364829999973153,None,,,,,,,,,,,,,,,,,,P118,001,2024-11-20_09h55.25.111,posner_endo_new1,2024.2.4,60.16941299928643,2024-11-20 09h55.31.483454 +0000,
0.31,0.005,6,6,0,up,3.476375000000189,None,space,0.36165080000046146,None,0,6,6,1,,,,,,,,,668.9874917000006,,,,,,,,,,,,668.9717586000006,668.9874917000006,668.9874917000006,672.4680269999999,up,3.476375000000189,None,672.4682635999998,672.4836013000004,672.4836013000004,672.4836013000004,672.7836035999999,,672.8509616000001,space,0.36165080000046146,None,,,,,,,,,,,,,,,,,,P118,001,2024-11-20_09h55.25.111,posner_endo_new1,2024.2.4,60.16941299928643,2024-11-20 09h55.31.483454 +0000,
-0.31,0.005,7,7,0,down,3.508915600000364,None,space,0.308941500000401,None,0,7,7,0,,,,,,,,,672.8669238000002,,,,,,,,,,,,672.8511243000003,672.8669238000002,672.8669238000002,676.3806622000002,down,3.508915600000364,None,676.3809090000004,676.3965089000003,676.3965089000003,676.3965089000003,676.6963948000002,,676.7138648,space,0.308941500000401,None,,,,,,,,,,,,,,,,,,P118,001,2024-11-20_09h55.25.111,posner_endo_new1,2024.2.4,60.16941299928643,2024-11-20 09h55.31.483454 +0000,
