target_y,target_x,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,session_1.thisRepN,session_1.thisTrialN,session_1.thisN,session_1.thisIndex,session_2.thisRepN,session_2.thisTrialN,session_2.thisN,session_2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready.stopped,fix.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,target.started,star.started,fixation_cross_target.started,key_resp.started,star.stopped,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,key_resp.stopped,session_1.key_control2.keys,session_1.key_control2.rt,session_1.key_control2.duration,session_1.key_resp.keys,session_1.key_resp.rt,session_1.key_resp.duration,break_2.started,text.started,key_control3.started,break_2.stopped,key_control3.keys,session_2.key_control2.keys,session_2.key_control2.rt,session_2.key_control2.duration,session_2.key_resp.keys,session_2.key_resp.rt,session_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.007511300000260235,0.02185190000000148,0.02185190000000148,2706.3216188000006,up,2706.2887489000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2706.321699100001,2706.3349997999994,2709.3296119000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
-0.31,0.005,0,0,0,down,22.506413299999622,None,space,0.5324120000004768,None,0,0,0,0,,,,,,,,,2709.3486742999994,,,,,,,,,,,,2709.3367149000005,2709.3486742999994,2709.3486742999994,2731.8571379000005,down,22.506413299999622,None,2731.8574207,2731.8730097999996,2731.8730097999996,2731.8730097999996,2732.1726512999994,2732.4068461000006,space,0.5324120000004768,None,,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,-0.31,1,1,0,up,6.344961899998452,None,space,0.31772079999973357,None,0,1,1,7,,,,,,,,,2732.4224632000005,,,,,,,,,,,,2732.4070107999996,2732.4224632000005,2732.4224632000005,2738.7833314,up,6.344961899998452,None,2738.7835914000007,2738.7992765,2738.7992765,2738.7992765,2739.0989744,2739.1328624,space,0.31772079999973357,None,,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,0.31,2,2,0,down,3.1298810000007506,None,space,0.3480316999994102,None,0,2,2,6,,,,,,,,,2739.148860200001,,,,,,,,,,,,2739.133022599999,2739.148860200001,2739.148860200001,2742.2798303,down,3.1298810000007506,None,2742.2800797,2742.2956797000006,2742.2956797000006,2742.2956797000006,2742.5953702000006,2742.6462052999996,space,0.3480316999994102,None,,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,0.31,3,3,0,up,2.9607574000001478,None,space,0.2872129999996105,None,0,3,3,8,,,,,,,,,2742.6619157999994,,,,,,,,,,,,2742.6463593999997,2742.6619157999994,2742.6619157999994,2745.6264140000003,up,2.9607574000001478,None,2745.6266761000006,2745.6422920000005,2745.6422920000005,2745.6422920000005,2745.9418764,2745.9427056000004,space,0.2872129999996105,None,,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
10,0.005,4,4,0,down,1.7522623999993812,None,None,,,0,4,4,4,,,,,,,,,2745.9586182000003,,,,,,,,,,,,2745.9428712999998,2745.9586182000003,2745.9586182000003,2747.7241665,down,1.7522623999993812,None,2747.7244238000003,2747.7400873999995,2747.7400873999995,2747.7400873999995,2748.0397345,2750.7371058999997,None,,,2748.7389114,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
-0.31,0.005,5,5,0,up,2.621419600000081,None,space,0.34948050000093644,None,0,5,5,2,,,,,,,,,2750.7535272000005,,,,,,,,,,,,2750.7372658000004,2750.7535272000005,2750.7535272000005,2753.3851624,up,2.621419600000081,None,2753.385421000001,2753.4010180000005,2753.4010180000005,2753.4010180000005,2753.7005993000002,2753.75151,space,0.34948050000093644,None,,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,-0.31,6,6,0,down,2.1671234000004915,None,space,0.43772490000083053,None,0,6,6,5,,,,,,,,,2753.7673331000005,,,,,,,,,,,,2753.7516708000003,2753.7673331000005,2753.7673331000005,2755.9493459999994,down,2.1671234000004915,None,2755.9496039000005,2755.9649092,2755.9649092,2755.9649092,2756.2646258999994,2756.4153279,space,0.43772490000083053,None,,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.31,0.005,7,7,0,up,6.128784499998801,None,space,0.32906800000091607,None,0,7,7,1,,,,,,,,,2756.4311589999998,,,,,,,,,,,,2756.4154887999994,2756.4311589999998,2756.4311589999998,2762.5756562000006,up,6.128784499998801,None,2762.5759180000005,2762.5916352999993,2762.5916352999993,2762.5916352999993,2762.8912739000007,2762.9253116,space,0.32906800000091607,None,,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.31,0.005,8,8,0,down,2.001600999999937,None,space,0.3872312999992573,None,0,8,8,3,,,,,,,,,2762.941295299999,,,,,,,,,,,,2762.9254727999996,2762.941295299999,2762.941295299999,2764.9564960000007,down,2.001600999999937,None,2764.9567564999998,2764.9722619000004,2764.9722619000004,2764.9722619000004,2765.2722083999997,2765.372756999999,space,0.3872312999992573,None,,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,10,9,9,0,up,1.6751320999992458,None,None,,,0,9,9,9,,,,,,,,,2765.3887214999995,,,,,,,,,,,,2765.372916799999,2765.3887214999995,2765.3887214999995,2767.0710024,up,1.6751320999992458,None,2767.0712607000005,2767.0870443999993,2767.0870443999993,2767.0870443999993,2767.3866063000005,2770.0839627999994,None,,,2768.1024605000002,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2770.0840688000008,2770.1007312,2773.0808374000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
-0.31,0.005,0,0,0,down,30.083113200000298,None,space,0.7098514000008436,None,,,,,0,0,0,0,,,,,2773.0998206999993,,,,,,,,,,,,2773.0890352000006,2773.0998206999993,2773.0998206999993,2803.1841251000005,,,,2803.1843744,2803.199984499999,2803.199984499999,2803.199984499999,2803.4996685000006,2803.9166229,,,,,down,30.083113200000298,None,space,0.7098514000008436,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,0.31,1,1,0,up,1.6345156999996107,None,space,0.37171139999918523,None,,,,,0,1,1,1,,,,,2803.9324959000005,,,,,,,,,,,,2803.916782800001,2803.9324959000005,2803.9324959000005,2805.5817663,,,,2805.582027799999,2805.5974224,2805.5974224,2805.5974224,2805.8972553999993,2805.981163300001,,,,,up,1.6345156999996107,None,space,0.37171139999918523,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.31,0.005,2,2,0,down,2.937807900001644,None,space,0.3058497999991232,None,,,,,0,2,2,2,,,,,2805.9971038999993,,,,,,,,,,,,2805.9813309,2805.9971038999993,2805.9971038999993,2808.9448111,,,,2808.9450724,2808.9607775000004,2808.9607775000004,2808.9607775000004,2809.2604207999993,2809.2780036000004,,,,,down,2.937807900001644,None,space,0.3058497999991232,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.31,0.005,3,3,0,up,1.28937919999953,None,space,0.7195296999998391,None,,,,,0,3,3,3,,,,,2809.293808799999,,,,,,,,,,,,2809.2781701999993,2809.293808799999,2809.293808799999,2810.5932082,,,,2810.5934791,2810.6089871999993,2810.6089871999993,2810.6089871999993,2810.908603600001,2811.3424176000008,,,,,up,1.28937919999953,None,space,0.7195296999998391,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
-0.31,0.005,4,4,0,down,10.911833699999988,None,space,0.4611336999987543,None,,,,,0,4,4,4,,,,,2811.3583832000004,,,,,,,,,,,,2811.3425848999996,2811.3583832000004,2811.3583832000004,2822.2810678000005,,,,2822.2813497999996,2822.2972056,2822.2972056,2822.2972056,2822.5967435000002,2822.7642053,,,,,down,10.911833699999988,None,space,0.4611336999987543,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,-0.31,5,5,0,up,2.7866931999997178,None,space,0.3428961999998137,None,,,,,0,5,5,5,,,,,2822.7796844000004,,,,,,,,,,,,2822.7643757999995,2822.7796844000004,2822.7796844000004,2825.5777450999994,,,,2825.5780053,2825.5938043999995,2825.5938043999995,2825.5938043999995,2825.893507500001,2825.944114600001,,,,,up,2.7866931999997178,None,space,0.3428961999998137,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,-0.31,6,6,0,down,8.175223599999299,None,space,0.2892276000002312,None,,,,,0,6,6,6,,,,,2825.959799,,,,,,,,,,,,2825.9442808999993,2825.959799,2825.959799,2834.1357633000007,,,,2834.1360134000006,2834.1514136999995,2834.1514136999995,2834.1514136999995,2834.452051,2834.452871899999,,,,,down,8.175223599999299,None,space,0.2892276000002312,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
10,0.005,7,7,0,up,8.674154700000145,None,None,,,,,,,0,7,7,7,,,,,2834.4682556000007,,,,,,,,,,,,2834.4530434000008,2834.4682556000007,2834.4682556000007,2843.1433469999993,,,,2843.143602100001,2843.1589724999994,2843.1589724999994,2843.1589724999994,2843.4585595999997,2846.1561082000007,,,,2844.174685600001,up,8.674154700000145,None,None,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
-0.31,0.005,8,8,0,up,2.4256315999991784,None,space,0.38242479999826173,None,,,,,0,8,8,8,,,,,2846.1726854999997,,,,,,,,,,,,2846.1562667,2846.1726854999997,2846.1726854999997,2848.6039925000005,,,,2848.6042388999995,2848.6201946,2848.6201946,2848.6201946,2848.9197731000004,2849.0038671,,,,,up,2.4256315999991784,None,space,0.38242479999826173,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,0.31,9,9,0,down,1.699677900000097,None,space,0.3818064000006416,None,,,,,0,9,9,9,,,,,2849.0197222999996,,,,,,,,,,,,2849.0040260999995,2849.0197222999996,2849.0197222999996,2850.7355100999994,,,,2850.7357615,2850.7512485000007,2850.7512485000007,2850.7512485000007,2851.050947399999,2851.1350727999998,,,,,down,1.699677900000097,None,space,0.3818064000006416,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,-0.31,10,10,0,up,1.6723454000002675,None,space,0.33240980000118725,None,,,,,0,10,10,10,,,,,2851.1507901000004,,,,,,,,,,,,2851.1352344999996,2851.1507901000004,2851.1507901000004,2852.8329928000003,,,,2852.8332470000005,2852.8488777000002,2852.8488777000002,2852.8488777000002,2853.1487995999996,2853.1828829000005,,,,,up,1.6723454000002675,None,space,0.33240980000118725,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,0.31,11,11,0,down,2.072209500000099,None,space,0.31147020000025805,None,,,,,0,11,11,11,,,,,2853.1988729000004,,,,,,,,,,,,2853.183044199999,2853.1988729000004,2853.1988729000004,2855.2806891,,,,2855.2809371000003,2855.2964924999997,2855.2964924999997,2855.2964924999997,2855.596360899999,2855.6135630999997,,,,,down,2.072209500000099,None,space,0.31147020000025805,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
10,0.005,12,12,0,up,1.6486605999998574,None,None,,,,,,,0,12,12,12,,,,,2855.6295541,,,,,,,,,,,,2855.6137223999995,2855.6295541,2855.6295541,2857.295143199999,,,,2857.2953947999995,2857.3112707,2857.3112707,2857.3112707,2857.6109373,2860.3083497000007,,,,2858.3270016000006,up,1.6486605999998574,None,None,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.31,0.005,13,13,0,up,2.185741400000552,None,space,0.4211106999991898,None,,,,,0,13,13,13,,,,,2860.3248213999996,,,,,,,,,,,,2860.3085054000003,2860.3248213999996,2860.3248213999996,2862.523304099999,,,,2862.5235520000006,2862.5390676999996,2862.5390676999996,2862.5390676999996,2862.8389788000004,2862.972866,,,,,up,2.185741400000552,None,space,0.4211106999991898,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
10,0.005,14,14,0,down,1.986358800000744,None,None,,,,,,,0,14,14,14,,,,,2862.988686999999,,,,,,,,,,,,2862.9730292000004,2862.988686999999,2862.988686999999,2864.9873444000004,,,,2864.9875918,2865.003434800001,2865.003434800001,2865.003434800001,2865.303083500001,2868.0004358000006,,,,2866.0188471,down,1.986358800000744,None,None,,,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
-0.31,0.005,15,15,0,up,0.04578089999995427,None,space,0.34479669999927864,None,,,,,0,15,15,15,,,,,2868.0168692000007,,,,,,,,,,,,2868.0005901000004,2868.0168692000007,2868.0168692000007,2868.0676986,,,,2868.0679557000003,2868.0835391,2868.0835391,2868.0835391,2868.3831618999993,2868.4339848,,,,,up,0.04578089999995427,None,space,0.34479669999927864,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,-0.31,16,16,0,down,4.516411099999459,None,space,0.31173089999902004,None,,,,,0,16,16,16,,,,,2868.4500814000003,,,,,,,,,,,,2868.4341568,2868.4500814000003,2868.4500814000003,2872.9792017,,,,2872.9794605000006,2872.9950855999996,2872.9950855999996,2872.9950855999996,2873.2947700000004,2873.3124566999995,,,,,down,4.516411099999459,None,space,0.31173089999902004,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
0.005,0.31,17,17,0,up,2.630333099999916,None,space,0.2824978000007832,None,,,,,0,17,17,17,,,,,2873.3281652000005,,,,,,,,,,,,2873.3126219000005,2873.3281652000005,2873.3281652000005,2875.9595929999996,,,,2875.9598511999993,2875.9755413000003,2875.9755413000003,2875.9755413000003,2876.2751344000008,2876.2595794999997,,,,,up,2.630333099999916,None,space,0.2824978000007832,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
-0.31,0.005,18,18,0,down,1.98800940000001,None,space,0.4464583999997558,None,,,,,0,18,18,18,,,,,2876.2751344000008,,,,,,,,,,,,2876.2597463,2876.2751344000008,2876.2751344000008,2878.2738771000004,,,,2878.2741411999996,2878.2896163999994,2878.2896163999994,2878.2896163999994,2878.5895930000006,2878.7403489999997,,,,,down,1.98800940000001,None,space,0.4464583999997558,None,,,,,,,,,,,,P125,001,2024-11-21_09h22.46.710,posner_endo_new1,2024.2.4,60.05937469808767,2024-11-21 09h22.52.626419 +0000,
