target_y,target_x,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,session_1.thisRepN,session_1.thisTrialN,session_1.thisN,session_1.thisIndex,session_2.thisRepN,session_2.thisTrialN,session_2.thisN,session_2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready.stopped,fix.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,target.started,star.started,fixation_cross_target.started,key_resp.started,star.stopped,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,key_resp.stopped,session_1.key_control2.keys,session_1.key_control2.rt,session_1.key_control2.duration,session_1.key_resp.keys,session_1.key_resp.rt,session_1.key_resp.duration,break_2.started,text.started,key_control3.started,break_2.stopped,key_control3.keys,key_control3.rt,key_control3.duration,session_2.key_control2.keys,session_2.key_control2.rt,session_2.key_control2.duration,session_2.key_resp.keys,session_2.key_resp.rt,session_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.007389800000964897,0.01954170000135491,0.01954170000135491,2442.927758400001,up,2442.9019709000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P137,001,2024-12-13_12h53.49.438,posner_endo_new1,2024.2.4,60.036225858453655,2024-12-13 12h54.14.628114 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442.927802,2442.9408875999998,2445.937854900001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P137,001,2024-12-13_12h53.49.438,posner_endo_new1,2024.2.4,60.036225858453655,2024-12-13 12h54.14.628114 +0000,
0.005,0.31,0,0,0,up,9.062468799998896,None,space,0.5827731000008498,None,0,0,0,8,,,,,,,,,2445.9557566000003,,,,,,,,,,,,2445.9446869000003,2445.9557566000003,2445.9557566000003,2455.029471,up,9.062468799998896,None,2455.0297316000015,2455.0453932,2455.0453932,2455.0453932,2455.3450170000015,2455.628890600001,space,0.5827731000008498,None,,,,,,,,,,,,,,,,,,,,,P137,001,2024-12-13_12h53.49.438,posner_endo_new1,2024.2.4,60.036225858453655,2024-12-13 12h54.14.628114 +0000,
-0.31,0.005,1,1,0,down,4.429770099999587,None,space,0.5810438999997132,None,0,1,1,2,,,,,,,,,2455.6446601000007,,,,,,,,,,,,2455.6290439000004,2455.6446601000007,2455.6446601000007,2460.0907083,down,4.429770099999587,None,2460.090951,2460.106771500001,2460.106771500001,2460.106771500001,2460.4065666000006,2460.6901227,space,0.5810438999997132,None,,,,,,,,,,,,,,,,,,,,,P137,001,2024-12-13_12h53.49.438,posner_endo_new1,2024.2.4,60.036225858453655,2024-12-13 12h54.14.628114 +0000,
0.31,0.005,2,2,0,up,3.3521588999992673,None,space,0.6714233000002423,None,0,2,2,1,,,,,,,,,2460.7063002000014,,,,,,,,,,,,2460.690282200001,2460.7063002000014,2460.7063002000014,2464.070394800001,up,3.3521588999992673,None,2464.0706597000008,2464.0860951000013,2464.0860951000013,2464.0860951000013,2464.385704100001,2464.769586100001,space,0.6714233000002423,None,,,,,,,,,,,,,,,,,,,,,P137,001,2024-12-13_12h53.49.438,posner_endo_new1,2024.2.4,60.036225858453655,2024-12-13 12h54.14.628114 +0000,
0.005,-0.31,3,3,0,down,3.5284329999994952,None,space,0.63831349999964,None,0,3,3,5,,,,,,,,,2464.785321200001,,,,,,,,,,,,2464.7697377000004,2464.785321200001,2464.785321200001,2468.315854100001,down,3.5284329999994952,None,2468.3161052000014,2468.3317711,2468.3317711,2468.3317711,2468.631464600001,2468.9818195000007,space,0.63831349999964,None,,,,,,,,,,,,,,,,,,,,,P137,001,2024-12-13_12h53.49.438,posner_endo_new1,2024.2.4,60.036225858453655,2024-12-13 12h54.14.628114 +0000,
0.31,0.005,4,4,0,up,1.8764141000010568,None,space,0.5554946000011114,None,0,4,4,3,,,,,,,,,2468.9977678000014,,,,,,,,,,,,2468.9819726000005,2468.9977678000014,2468.9977678000014,2470.8798505000013,up,1.8764141000010568,None,2470.8801028,2470.8957546,2470.8957546,2470.8957546,2471.1954647000002,2471.4625386000007,space,0.5554946000011114,None,,,,,,,,,,,,,,,,,,,,,P137,001,2024-12-13_12h53.49.438,posner_endo_new1,2024.2.4,60.036225858453655,2024-12-13 12h54.14.628114 +0000,
0.005,-0.31,5,5,0,down,3.739807500000097,None,space,0.558772799999133,None,0,5,5,7,,,,,,,,,2471.4785060000013,,,,,,,,,,,,2471.4626958999997,2471.4785060000013,2471.4785060000013,2475.225519900001,down,3.739807500000097,None,2475.2257838000005,2475.2413263,2475.2413263,2475.2413263,2475.5409342000003,2475.8083008000012,space,0.558772799999133,None,,,,,,,,,,,,,,,,,,,,,P137,001,2024-12-13_12h53.49.438,posner_endo_new1,2024.2.4,60.036225858453655,2024-12-13 12h54.14.628114 +0000,
-0.31,0.005,6,6,0,up,2.24277660000007,None,space,0.5276515999994444,None,0,6,6,0,,,,,,,,,2475.824078200001,,,,,,,,,,,,2475.8084504,2475.824078200001,2475.824078200001,2478.0725678,up,2.24277660000007,None,2478.072820900001,2478.0883176000007,2478.0883176000007,2478.0883176000007,2478.387969900001,2478.622138300001,space,0.5276515999994444,None,,,,,,,,,,,,,,,,,,,,,P137,001,2024-12-13_12h53.49.438,posner_endo_new1,2024.2.4,60.036225858453655,2024-12-13 12h54.14.628114 +0000,
0.005,0.31,7,7,0,down,3.5722225999998045,None,None,,,0,7,7,6,,,,,,,,,2478.6379251,,,,,,,,,,,,2478.6222952999997,2478.6379251,2478.6379251,2482.2182730000004,down,3.5722225999998045,None,2482.2185267000004,2482.234283,2482.234283,2482.234283,2482.5337991000015,2485.2312659,None,,,2483.249794200001,,,,,,,,,,,,,,,,,,,,P137,001,2024-12-13_12h53.49.438,posner_endo_new1,2024.2.4,60.036225858453655,2024-12-13 12h54.14.628114 +0000,
0.005,10,8,8,0,down,3.018708700001298,None,None,,,0,8,8,9,,,,,,,,,2485.2477107000013,,,,,,,,,,,,2485.2314186000003,2485.2477107000013,2485.2477107000013,2488.2789027,down,3.018708700001298,None,2488.279147200001,2488.294679300001,2488.294679300001,2488.294679300001,2488.5942868,2491.2917125000004,None,,,2489.3104026,,,,,,,,,,,,,,,,,,,,P137,001,2024-12-13_12h53.49.438,posner_endo_new1,2024.2.4,60.036225858453655,2024-12-13 12h54.14.628114 +0000,
