target_y,target_x,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,session_1.thisRepN,session_1.thisTrialN,session_1.thisN,session_1.thisIndex,session_2.thisRepN,session_2.thisTrialN,session_2.thisN,session_2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready.stopped,fix.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,target.started,star.started,fixation_cross_target.started,key_resp.started,star.stopped,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,key_resp.stopped,session_1.key_control2.keys,session_1.key_control2.rt,session_1.key_control2.duration,session_1.key_resp.keys,session_1.key_resp.rt,session_1.key_resp.duration,break_2.started,text.started,key_control3.started,break_2.stopped,key_control3.keys,session_2.key_control2.keys,session_2.key_control2.rt,session_2.key_control2.duration,session_2.key_resp.keys,session_2.key_resp.rt,session_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.007637400000021444,0.028080000000045402,0.028080000000045402,349.7415003000001,up,349.70923070000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p115,001,2024-11-19_14h48.54.141,posner_endo_new1,2024.2.4,60.066698061446445,2024-11-19 14h49.04.192239 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.74157419999983,349.75422500000013,352.7512608000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p115,001,2024-11-19_14h48.54.141,posner_endo_new1,2024.2.4,60.066698061446445,2024-11-19 14h49.04.192239 +0000,
-0.31,0.005,0,0,0,up,2.463508699999693,None,space,0.44285020000006625,None,0,0,0,0,,,,,,,,,352.76943630000005,,,,,,,,,,,,352.75831579999976,352.76943630000005,352.76943630000005,355.2493021,up,2.463508699999693,None,355.2495789999998,355.2652244000001,355.2652244000001,355.2652244000001,355.5648898999998,355.7154316000001,space,0.44285020000006625,None,,,,,,,,,,,,,,,,,,,p115,001,2024-11-19_14h48.54.141,posner_endo_new1,2024.2.4,60.066698061446445,2024-11-19 14h49.04.192239 +0000,
0.005,-0.31,1,1,0,down,4.2782907000000705,None,space,0.32827190000034534,None,0,1,1,5,,,,,,,,,355.73137259999976,,,,,,,,,,,,355.71558959999993,355.73137259999976,355.73137259999976,360.01122350000014,down,4.2782907000000705,None,360.01146960000005,360.02703999999994,360.02703999999994,360.02703999999994,360.32659879999983,360.3607449000001,space,0.32827190000034534,None,,,,,,,,,,,,,,,,,,,p115,001,2024-11-19_14h48.54.141,posner_endo_new1,2024.2.4,60.066698061446445,2024-11-19 14h49.04.192239 +0000,
-0.31,0.005,2,2,0,up,2.6243445999998585,None,space,0.317270500000177,None,0,2,2,2,,,,,,,,,360.3767892000001,,,,,,,,,,,,360.36090000000013,360.3767892000001,360.3767892000001,363.0080883999999,up,2.6243445999998585,None,363.0083386000001,363.0239898,363.0239898,363.0239898,363.3238388,363.3575381999999,space,0.317270500000177,None,,,,,,,,,,,,,,,,,,,p115,001,2024-11-19_14h48.54.141,posner_endo_new1,2024.2.4,60.066698061446445,2024-11-19 14h49.04.192239 +0000,
0.005,0.31,3,3,0,down,2.4523198000001685,None,space,0.3267249000000447,None,0,3,3,6,,,,,,,,,363.37355720000005,,,,,,,,,,,,363.3576962000002,363.37355720000005,363.37355720000005,365.83863139999994,down,2.4523198000001685,None,365.8388737,365.8542633000002,365.8542633000002,365.8542633000002,366.15426179999986,366.18829159999996,space,0.3267249000000447,None,,,,,,,,,,,,,,,,,,,p115,001,2024-11-19_14h48.54.141,posner_endo_new1,2024.2.4,60.066698061446445,2024-11-19 14h49.04.192239 +0000,
10,0.005,4,4,0,up,2.350013199999921,None,None,,,0,4,4,4,,,,,,,,,366.2039549000001,,,,,,,,,,,,366.18844230000013,366.2039549000001,366.2039549000001,368.5689126000002,up,2.350013199999921,None,368.5691664000001,368.5849232999999,368.5849232999999,368.5849232999999,368.8846189000001,371.5820018999998,None,,,369.5838171999999,,,,,,,,,,,,,,,,,,p115,001,2024-11-19_14h48.54.141,posner_endo_new1,2024.2.4,60.066698061446445,2024-11-19 14h49.04.192239 +0000,
0.005,0.31,5,5,0,up,2.970861199999945,None,space,0.5191577000000507,None,0,5,5,8,,,,,,,,,371.59843469999987,,,,,,,,,,,,371.5821559000001,371.59843469999987,371.59843469999987,374.5794596999999,up,2.970861199999945,None,374.57970269999987,374.5954760999998,374.5954760999998,374.5954760999998,374.8952284000002,375.1290598999999,space,0.5191577000000507,None,,,,,,,,,,,,,,,,,,,p115,001,2024-11-19_14h48.54.141,posner_endo_new1,2024.2.4,60.066698061446445,2024-11-19 14h49.04.192239 +0000,
0.005,10,6,6,0,down,2.271791900000153,None,None,,,0,6,6,9,,,,,,,,,375.1449551999999,,,,,,,,,,,,375.1292147999998,375.1449551999999,375.1449551999999,377.42664909999985,down,2.271791900000153,None,377.4268947999999,377.44255710000016,377.44255710000016,377.44255710000016,377.7424388999998,380.4397021,None,,,378.458118,,,,,,,,,,,,,,,,,,p115,001,2024-11-19_14h48.54.141,posner_endo_new1,2024.2.4,60.066698061446445,2024-11-19 14h49.04.192239 +0000,
0.31,0.005,7,7,0,up,0.3843861000000288,None,space,0.5037591999998767,None,0,7,7,1,,,,,,,,,380.4560735,,,,,,,,,,,,380.43986459999996,380.4560735,380.4560735,380.85661119999986,up,0.3843861000000288,None,380.8568626000001,380.8722114000002,380.8722114000002,380.8722114000002,381.17200760000014,381.38930530000016,space,0.5037591999998767,None,,,,,,,,,,,,,,,,,,,p115,001,2024-11-19_14h48.54.141,posner_endo_new1,2024.2.4,60.066698061446445,2024-11-19 14h49.04.192239 +0000,
