participant_ID,position,validity,trial,phase,response,rt
P101,catch,catch,0,inhale,correct,NA
P101,catch,catch,1,inhale,correct,NA
P101,right,invalid,2,inhale,correct,0.6154087
P101,right,invalid,3,inhale,correct,0.4375185
P101,left,valid,4,inhale,correct,0.3889531
P101,left,invalid,5,inhale,correct,0.4349179
P101,right,valid,6,inhale,correct,0.4349288
P101,left,invalid,7,inhale,correct,0.3825975
P101,left,valid,8,inhale,correct,0.3554862
P101,left,invalid,9,inhale,correct,0.3963625
P101,right,invalid,10,inhale,correct,0.4232484
P101,left,invalid,11,inhale,correct,0.411126
P101,right,valid,12,inhale,correct,0.359009
P101,catch,catch,13,inhale,correct,NA
P101,left,invalid,14,inhale,correct,0.4418752
P101,left,valid,15,inhale,correct,0.4733989
P101,catch,catch,16,inhale,correct,NA
P101,catch,catch,17,inhale,correct,NA
P101,right,invalid,18,inhale,correct,0.4979081
P101,catch,catch,19,inhale,correct,NA
P101,right,invalid,20,inhale,correct,0.4141367
P101,left,valid,21,inhale,correct,0.4063817
P101,right,valid,22,inhale,correct,0.5133851
P101,left,invalid,23,inhale,correct,0.4056457
P101,right,valid,24,inhale,correct,0.2931039
P101,left,invalid,25,inhale,correct,0.5561619
P101,left,valid,26,inhale,correct,0.353992
P101,right,valid,27,inhale,correct,0.3479937
P101,catch,catch,28,inhale,correct,NA
P101,right,valid,29,inhale,correct,0.4249698
P101,right,valid,30,inhale,correct,0.3601763
P101,left,valid,31,inhale,correct,0.3909246
P101,right,valid,32,inhale,correct,0.3312775
P101,left,invalid,33,inhale,correct,0.4545374
P101,catch,catch,34,inhale,correct,NA
P101,right,valid,35,inhale,correct,0.5023288
P101,left,invalid,36,inhale,correct,0.4075415
P101,right,invalid,37,inhale,correct,0.4034508
P101,right,invalid,38,inhale,correct,0.4643846
P101,right,valid,39,inhale,correct,0.4150601
P101,right,invalid,40,inhale,correct,0.5284895
P101,catch,catch,41,inhale,correct,NA
P101,left,valid,42,inhale,correct,0.4159472
P101,catch,catch,43,inhale,correct,NA
P101,right,invalid,44,inhale,correct,0.4362013
P101,right,invalid,45,inhale,correct,0.4884135
P101,right,valid,46,inhale,correct,0.5273398
P101,left,valid,47,inhale,correct,0.3656714
P101,left,invalid,48,inhale,correct,0.3871539
P101,catch,catch,49,inhale,correct,NA
P101,left,valid,50,inhale,correct,0.3737371
P101,left,valid,51,inhale,correct,0.4042894
P101,left,invalid,52,inhale,correct,0.3790094
P101,left,valid,53,inhale,correct,0.971749
P101,catch,catch,54,inhale,correct,NA
P101,right,invalid,55,inhale,correct,0.4463859
P101,left,valid,56,inhale,correct,0.385474
P101,right,valid,57,inhale,correct,0.4226561
P101,left,invalid,58,inhale,correct,0.3937742
P101,right,invalid,59,inhale,correct,0.4227545
P101,catch,catch,0,exhale,correct,NA
P101,catch,catch,1,exhale,correct,NA
P101,right,invalid,2,exhale,correct,0.4408701
P101,right,invalid,3,exhale,correct,0.415665
P101,left,valid,4,exhale,correct,0.4602554
