participant_ID,target_x,validity,trial,phase,response,rt,Participant
P101,10,catch,0,inhale,correct,NA,P101
P101,10,catch,1,inhale,correct,NA,P101
P101,0.31,invalid,2,inhale,correct,0.615408700003172,P101
P101,0.31,invalid,3,inhale,correct,0.437518499995349,P101
P101,-0.31,valid,4,inhale,correct,0.388953100002254,P101
P101,-0.31,invalid,5,inhale,correct,0.434917899998254,P101
P101,0.31,valid,6,inhale,correct,0.434928799993941,P101
P101,-0.31,invalid,7,inhale,correct,0.38259750000725,P101
P101,-0.31,valid,8,inhale,correct,0.355486200001906,P101
P101,-0.31,invalid,9,inhale,correct,0.396362499988754,P101
P101,0.31,invalid,10,inhale,correct,0.42324840000947,P101
P101,-0.31,invalid,11,inhale,correct,0.411125999991782,P101
P101,0.31,valid,12,inhale,correct,0.359009000007063,P101
P101,10,catch,13,inhale,correct,NA,P101
P101,-0.31,invalid,14,inhale,correct,0.441875200005597,P101
P101,-0.31,valid,15,inhale,correct,0.47339890000876,P101
P101,10,catch,16,inhale,correct,NA,P101
P101,10,catch,17,inhale,correct,NA,P101
P101,0.31,invalid,18,inhale,correct,0.497908100005588,P101
P101,10,catch,19,inhale,correct,NA,P101
P101,0.31,invalid,20,inhale,correct,0.414136699997471,P101
P101,-0.31,valid,21,inhale,correct,0.406381699998747,P101
P101,0.31,valid,22,inhale,correct,0.513385099999141,P101
P101,-0.31,invalid,23,inhale,correct,0.405645699996967,P101
P101,0.31,valid,24,inhale,correct,0.293103899995913,P101
P101,-0.31,invalid,25,inhale,correct,0.556161900007282,P101
P101,-0.31,valid,26,inhale,correct,0.353992000003927,P101
P101,0.31,valid,27,inhale,correct,0.347993699993822,P101
P101,10,catch,28,inhale,correct,NA,P101
P101,0.31,valid,29,inhale,correct,0.424969799991231,P101
P101,0.31,valid,30,inhale,correct,0.360176300004241,P101
P101,-0.31,valid,31,inhale,correct,0.390924599996652,P101
P101,0.31,valid,32,inhale,correct,0.33127749999403,P101
P101,-0.31,invalid,33,inhale,correct,0.454537400000845,P101
P101,10,catch,34,inhale,correct,NA,P101
P101,0.31,valid,35,inhale,correct,0.502328800008399,P101
P101,-0.31,invalid,36,inhale,correct,0.407541499997023,P101
P101,0.31,invalid,37,inhale,correct,0.403450799989514,P101
P101,0.31,invalid,38,inhale,correct,0.464384599996265,P101
P101,0.31,valid,39,inhale,correct,0.415060100000119,P101
P101,0.31,invalid,40,inhale,correct,0.528489500007709,P101
P101,10,catch,41,inhale,correct,NA,P101
P101,-0.31,valid,42,inhale,correct,0.415947200002847,P101
P101,10,catch,43,inhale,correct,NA,P101
P101,0.31,invalid,44,inhale,correct,0.43620130000636,P101
P101,0.31,invalid,45,inhale,correct,0.488413500002935,P101
P101,0.31,valid,46,inhale,correct,0.527339799999027,P101
P101,-0.31,valid,47,inhale,correct,0.365671400009887,P101
P101,-0.31,invalid,48,inhale,correct,0.38715389999561,P101
P101,10,catch,49,inhale,correct,NA,P101
P101,-0.31,valid,50,inhale,correct,0.373737100002472,P101
P101,-0.31,valid,51,inhale,correct,0.404289400001289,P101
P101,-0.31,invalid,52,inhale,correct,0.379009399999632,P101
P101,-0.31,valid,53,inhale,correct,0.971749000003911,P101
P101,10,catch,54,inhale,correct,NA,P101
P101,0.31,invalid,55,inhale,correct,0.446385899995221,P101
P101,-0.31,valid,56,inhale,correct,0.385473999995156,P101
P101,0.31,valid,57,inhale,correct,0.422656100010499,P101
P101,-0.31,invalid,58,inhale,correct,0.393774199998006,P101
P101,0.31,invalid,59,inhale,correct,0.422754500003066,P101
P101,10,catch,0,exhale,correct,NA,P101
P101,10,catch,1,exhale,correct,NA,P101
P101,0.31,invalid,2,exhale,correct,0.440870099992026,P101
P101,0.31,invalid,3,exhale,correct,0.415665000007721,P101
P101,-0.31,valid,4,exhale,correct,0.460255399986636,P101
P101,-0.31,invalid,5,exhale,correct,0.496285200002603,P101
P101,0.31,valid,6,exhale,correct,0.473116699999082,P101
P101,-0.31,invalid,7,exhale,correct,0.426388299994869,P101
P101,-0.31,valid,8,exhale,correct,0.348803800006863,P101
P101,-0.31,invalid,9,exhale,correct,0.456131700004335,P101
P101,0.31,invalid,10,exhale,correct,0.412976199993864,P101
P101,-0.31,invalid,11,exhale,correct,0.460246300004655,P101
P101,0.31,valid,12,exhale,correct,0.481583200002206,P101
P101,10,catch,13,exhale,correct,NA,P101
P101,-0.31,invalid,14,exhale,correct,0.53218249999918,P101
P101,-0.31,valid,15,exhale,correct,0.435907099992619,P101
P101,10,catch,16,exhale,correct,NA,P101
P101,10,catch,17,exhale,correct,NA,P101
P101,0.31,invalid,18,exhale,correct,0.48794610000914,P101
P101,10,catch,19,exhale,correct,NA,P101
P101,0.31,invalid,20,exhale,correct,0.560068200007663,P101
P101,-0.31,valid,21,exhale,correct,0.504507699995884,P101
P101,0.31,valid,22,exhale,correct,0.512928199997987,P101
P101,-0.31,invalid,23,exhale,correct,0.66625790001126,P101
P101,0.31,valid,24,exhale,correct,0.512284899989027,P101
P101,-0.31,invalid,25,exhale,correct,0.367588699999033,P101
P101,-0.31,valid,26,exhale,correct,0.632890000008047,P101
P101,0.31,valid,27,exhale,correct,0.397028999999748,P101
P101,10,catch,28,exhale,correct,NA,P101
P101,0.31,valid,29,exhale,correct,0.387382900007651,P101
P101,0.31,valid,30,exhale,correct,0.398401699989336,P101
P101,-0.31,valid,31,exhale,correct,0.36433890000626,P101
P101,0.31,valid,32,exhale,correct,0.377271000004839,P101
P101,-0.31,invalid,33,exhale,correct,0.481400999997277,P101
P101,10,catch,34,exhale,correct,NA,P101
P101,0.31,valid,35,exhale,correct,0.415099999998347,P101
P101,-0.31,invalid,36,exhale,correct,0.543948799997452,P101
P101,0.31,invalid,37,exhale,correct,0.484061700000893,P101
P101,0.31,invalid,38,exhale,correct,0.536963099992136,P101
P101,0.31,valid,39,exhale,correct,0.978262300006463,P101
P101,0.31,invalid,40,exhale,correct,0.431930200007628,P101
P101,10,catch,41,exhale,correct,NA,P101
P101,-0.31,valid,42,exhale,correct,0.434017099993071,P101
P101,10,catch,43,exhale,correct,NA,P101
P101,0.31,invalid,44,exhale,correct,0.536287900002208,P101
P101,0.31,invalid,45,exhale,correct,0.506604700000025,P101
P101,0.31,valid,46,exhale,correct,0.441917599993758,P101
P101,-0.31,valid,47,exhale,correct,0.345522399991751,P101
P101,-0.31,invalid,48,exhale,correct,0.386686199999531,P101
P101,10,catch,49,exhale,correct,NA,P101
P101,-0.31,valid,50,exhale,correct,0.437091399988276,P101
P101,-0.31,valid,51,exhale,correct,0.538913700002013,P101
P101,-0.31,invalid,52,exhale,correct,0.400998700002674,P101
P101,-0.31,valid,53,exhale,correct,0.360098200006178,P101
P101,10,catch,54,exhale,correct,NA,P101
P101,0.31,invalid,55,exhale,correct,0.407015100005083,P101
P101,-0.31,valid,56,exhale,correct,0.412306300000637,P101
P101,0.31,valid,57,exhale,correct,0.408740499988198,P101
P101,-0.31,invalid,58,exhale,correct,0.376762100000633,P101
