participant_ID,target_y,validity,trial,phase,response,rt,Participant
P101,10,catch,0,inhale,correct,NA,P101
P101,10,catch,1,inhale,correct,NA,P101
P101,0.31,invalid,2,inhale,correct,0.4367906999978,P101
P101,0.31,invalid,3,inhale,correct,0.454274000003352,P101
P101,-0.31,valid,4,inhale,correct,0.414176600010251,P101
P101,-0.31,invalid,5,inhale,correct,0.476943600006052,P101
P101,0.31,valid,6,inhale,correct,0.432016199993086,P101
P101,-0.31,invalid,7,inhale,correct,0.452882399986265,P101
P101,-0.31,valid,8,inhale,correct,0.484130399985588,P101
P101,-0.31,invalid,9,inhale,correct,0.419073800003389,P101
P101,0.31,invalid,10,inhale,correct,0.620422499996494,P101
P101,-0.31,invalid,11,inhale,correct,0.426979299998493,P101
P101,0.31,valid,12,inhale,correct,0.494277000005241,P101
P101,10,catch,13,inhale,correct,NA,P101
P101,-0.31,invalid,14,inhale,correct,0.444204799990985,P101
P101,-0.31,valid,15,inhale,correct,0.422121700001298,P101
P101,10,catch,16,inhale,correct,NA,P101
P101,10,catch,17,inhale,correct,NA,P101
P101,0.31,invalid,18,inhale,correct,0.540213100000983,P101
P101,10,catch,19,inhale,correct,NA,P101
P101,0.31,invalid,20,inhale,correct,0.407193000006373,P101
P101,-0.31,valid,21,inhale,correct,0.469396700005746,P101
P101,0.31,valid,22,inhale,correct,0.552698200001032,P101
P101,-0.31,invalid,23,inhale,correct,0.471015899995109,P101
P101,0.31,valid,24,inhale,correct,0.425652000005357,P101
P101,-0.31,invalid,25,inhale,correct,0.497729200011236,P101
P101,-0.31,valid,26,inhale,correct,0.454667099998915,P101
P101,0.31,valid,27,inhale,correct,0.590174099997967,P101
P101,10,catch,28,inhale,correct,NA,P101
P101,0.31,valid,29,inhale,correct,0.493221800003084,P101
P101,0.31,valid,30,inhale,correct,0.451329100003932,P101
P101,-0.31,valid,31,inhale,correct,0.468254699997487,P101
P101,0.31,valid,32,inhale,correct,0.428228800010402,P101
P101,-0.31,invalid,33,inhale,correct,0.420705299999099,P101
P101,10,catch,34,inhale,correct,NA,P101
P101,0.31,valid,35,inhale,correct,0.505910499996389,P101
P101,-0.31,invalid,36,inhale,correct,0.403098700000555,P101
P101,0.31,invalid,37,inhale,correct,0.492196599996532,P101
P101,0.31,invalid,38,inhale,correct,0.440875199987204,P101
P101,0.31,valid,39,inhale,correct,0.375327600006131,P101
P101,0.31,invalid,40,inhale,correct,0.436255000007804,P101
P101,10,catch,41,inhale,incorrect,0.293988999997964,P101
P101,-0.31,valid,42,inhale,correct,0.483392699999968,P101
P101,10,catch,43,inhale,correct,NA,P101
P101,0.31,invalid,44,inhale,correct,0.496538199993665,P101
P101,0.31,invalid,45,inhale,correct,0.49471430000267,P101
P101,0.31,valid,46,inhale,correct,0.440061899993452,P101
P101,-0.31,valid,47,inhale,correct,0.46394249999139,P101
P101,-0.31,invalid,48,inhale,correct,0.485664199994062,P101
P101,10,catch,49,inhale,correct,NA,P101
P101,-0.31,valid,50,inhale,correct,0.387670099997194,P101
P101,-0.31,valid,51,inhale,correct,0.434708200002206,P101
P101,-0.31,invalid,52,inhale,correct,0.443741100010811,P101
P101,-0.31,valid,53,inhale,correct,0.416547700006049,P101
P101,10,catch,54,inhale,correct,NA,P101
P101,0.31,invalid,55,inhale,correct,0.437230299998191,P101
P101,-0.31,valid,56,inhale,correct,0.429843799996888,P101
P101,0.31,valid,57,inhale,correct,0.41416030000255,P101
P101,-0.31,invalid,58,inhale,correct,0.421659100000397,P101
P101,0.31,invalid,59,inhale,correct,0.50878499999817,P101
P101,10,catch,0,exhale,correct,NA,P101
P101,10,catch,1,exhale,correct,NA,P101
P101,0.31,invalid,2,exhale,correct,0.468054299999494,P101
P101,0.31,invalid,3,exhale,correct,0.587648600005195,P101
P101,-0.31,valid,4,exhale,correct,0.439247600006638,P101
P101,-0.31,invalid,5,exhale,correct,0.46351620000496,P101
P101,0.31,valid,6,exhale,correct,0.434607100003632,P101
P101,-0.31,invalid,7,exhale,correct,0.432374099997105,P101
P101,-0.31,valid,8,exhale,correct,0.450703900001827,P101
P101,-0.31,invalid,9,exhale,correct,0.476051599995117,P101
P101,0.31,invalid,10,exhale,correct,0.479277799997362,P101
P101,-0.31,invalid,11,exhale,correct,0.478636000014376,P101
P101,0.31,valid,12,exhale,correct,0.397064899996622,P101
P101,10,catch,13,exhale,correct,NA,P101
P101,-0.31,invalid,14,exhale,correct,0.444242300000042,P101
P101,-0.31,valid,15,exhale,correct,0.455696600009105,P101
P101,10,catch,16,exhale,correct,NA,P101
P101,10,catch,17,exhale,correct,NA,P101
P101,0.31,invalid,18,exhale,correct,0.481060199992498,P101
P101,10,catch,19,exhale,correct,NA,P101
P101,0.31,invalid,20,exhale,correct,0.996579200000269,P101
P101,-0.31,valid,21,exhale,correct,0.887329500008491,P101
P101,0.31,valid,22,exhale,correct,0.690121999999974,P101
P101,-0.31,invalid,23,exhale,correct,1.08250689999841,P101
P101,0.31,valid,24,exhale,correct,0.542685199994594,P101
P101,-0.31,invalid,25,exhale,correct,0.455696400007582,P101
P101,-0.31,valid,26,exhale,correct,0.449386199994478,P101
P101,0.31,valid,27,exhale,correct,0.373332299990579,P101
P101,10,catch,28,exhale,correct,NA,P101
P101,0.31,valid,29,exhale,correct,0.548699600010877,P101
P101,0.31,valid,30,exhale,correct,0.845497200003592,P101
P101,-0.31,valid,31,exhale,correct,0.453848300006939,P101
P101,0.31,valid,32,exhale,correct,0.440293200008455,P101
P101,-0.31,invalid,33,exhale,correct,0.476785000006203,P101
P101,10,catch,34,exhale,correct,NA,P101
P101,0.31,valid,35,exhale,correct,0.479018800004269,P101
P101,-0.31,invalid,36,exhale,correct,0.47458789999655,P101
P101,0.31,invalid,37,exhale,correct,0.444189399990137,P101
P101,0.31,invalid,38,exhale,correct,0.469732500001555,P101
P101,0.31,valid,39,exhale,correct,0.654126199995517,P101
P101,0.31,invalid,40,exhale,correct,0.816190300000017,P101
P101,10,catch,41,exhale,correct,NA,P101
P101,-0.31,valid,42,exhale,correct,0.479214600010891,P101
P101,10,catch,43,exhale,correct,NA,P101
P101,0.31,invalid,44,exhale,correct,0.488337400005548,P101
P101,0.31,invalid,45,exhale,correct,0.432026900001802,P101
P101,0.31,valid,46,exhale,correct,0.469395199994324,P101
P101,-0.31,valid,47,exhale,correct,0.445511600002646,P101
P101,-0.31,invalid,48,exhale,correct,0.427253899993957,P101
P101,10,catch,49,exhale,correct,NA,P101
P101,-0.31,valid,50,exhale,correct,0.484669599987683,P101
P101,-0.31,valid,51,exhale,correct,0.531724500004202,P101
P101,-0.31,invalid,52,exhale,correct,0.505991199999698,P101
P101,-0.31,valid,53,exhale,correct,0.460195899999235,P101
P101,10,catch,54,exhale,correct,NA,P101
P101,0.31,invalid,55,exhale,correct,0.474210300002596,P101
P101,-0.31,valid,56,exhale,correct,0.496832900011213,P101
P101,0.31,valid,57,exhale,correct,0.388451100006932,P101
