"participant_ID","target_x","validity","trial","phase","response","rt"
"P124",10,"catch",0,"exhale","incorrect",0.264647600008175
"P124",10,"catch",1,"exhale","correct",NA
"P124",0.31,"invalid",2,"exhale","correct",0.326229500002228
"P124",0.31,"invalid",3,"exhale","correct",0.371474799932912
"P124",-0.31,"valid",4,"exhale","correct",0.332267599995248
"P124",-0.31,"invalid",5,"exhale","correct",0.337094299960881
"P124",0.31,"valid",6,"exhale","correct",0.305457600043155
"P124",-0.31,"invalid",7,"exhale","correct",0.315043100039475
"P124",-0.31,"valid",8,"exhale","correct",0.292379699996673
"P124",-0.31,"invalid",9,"exhale","correct",0.344439500011504
"P124",0.31,"invalid",10,"exhale","correct",0.345965199987404
"P124",-0.31,"invalid",11,"exhale","correct",0.34581430000253
"P124",0.31,"valid",12,"exhale","correct",0.29861489997711
"P124",10,"catch",13,"exhale","incorrect",0.278998999972828
"P124",-0.31,"invalid",14,"exhale","correct",0.373018199927174
"P124",-0.31,"valid",15,"exhale","correct",0.383489900035784
"P124",10,"catch",16,"exhale","correct",NA
"P124",10,"catch",17,"exhale","correct",NA
"P124",0.31,"invalid",18,"exhale","correct",0.44561169994995
"P124",10,"catch",19,"exhale","correct",NA
"P124",0.31,"invalid",20,"exhale","correct",0.404565400094725
"P124",-0.31,"valid",21,"exhale","correct",0.360846699913964
"P124",0.31,"valid",22,"exhale","correct",0.327303500031121
"P124",-0.31,"invalid",23,"exhale","correct",0.323337299982086
"P124",0.31,"valid",24,"exhale","correct",0.341483299969696
"P124",-0.31,"invalid",25,"exhale","correct",0.331355900038034
"P124",-0.31,"valid",26,"exhale","correct",0.352315000025555
"P124",0.31,"valid",27,"exhale","correct",0.400130900088698
"P124",10,"catch",28,"exhale","correct",NA
"P124",0.31,"valid",29,"exhale","correct",0.404744800063781
"P124",0.31,"valid",30,"exhale","correct",0.381944400025532
"P124",-0.31,"valid",31,"exhale","correct",0.404328800039366
"P124",0.31,"valid",32,"exhale","correct",0.31628449994605
"P124",-0.31,"invalid",33,"exhale","correct",0.40178559999913
"P124",10,"catch",34,"exhale","correct",NA
"P124",0.31,"valid",35,"exhale","correct",0.394479500013404
"P124",-0.31,"invalid",36,"exhale","correct",0.398766499944031
"P124",0.31,"invalid",37,"exhale","correct",0.489068399998359
"P124",0.31,"invalid",38,"exhale","correct",0.431850100052543
"P124",0.31,"valid",39,"exhale","correct",0.517301700077951
"P124",0.31,"invalid",40,"exhale","correct",0.406056899926625
"P124",10,"catch",41,"exhale","correct",NA
"P124",-0.31,"valid",42,"exhale","correct",0.391567899961956
"P124",10,"catch",43,"exhale","correct",NA
"P124",0.31,"invalid",44,"exhale","correct",0.441308600013144
"P124",0.31,"invalid",45,"exhale","correct",0.420439400011674
"P124",0.31,"valid",46,"exhale","correct",0.357975499937311
"P124",-0.31,"valid",47,"exhale","correct",0.348709200043231
"P124",-0.31,"invalid",48,"exhale","correct",0.392255599959753
"P124",10,"catch",49,"exhale","correct",NA
"P124",-0.31,"valid",50,"exhale","correct",0.372325500007719
"P124",-0.31,"valid",51,"exhale","correct",0.381290400051512
"P124",-0.31,"invalid",52,"exhale","correct",0.378012000001036
"P124",-0.31,"valid",53,"exhale","correct",0.316992499982007
"P124",10,"catch",54,"exhale","correct",NA
"P124",0.31,"invalid",55,"exhale","correct",0.385238999966532
"P124",-0.31,"valid",56,"exhale","correct",0.387466999934986
"P124",0.31,"valid",57,"exhale","correct",0.521370399976149
"P124",-0.31,"invalid",58,"exhale","correct",0.375278199906461
"P124",0.31,"invalid",59,"exhale","correct",0.366308399941772
"P124",10,"catch",0,"inhale","correct",NA
"P124",10,"catch",1,"inhale","correct",NA
"P124",0.31,"invalid",2,"inhale","correct",0.435253000003286
"P124",0.31,"invalid",3,"inhale","correct",0.413688600063324
"P124",-0.31,"valid",4,"inhale","correct",0.40274400007911
"P124",-0.31,"invalid",5,"inhale","correct",0.375747400103137
"P124",0.31,"valid",6,"inhale","correct",0.33707000000868
"P124",-0.31,"invalid",7,"inhale","correct",0.348122800001875
"P124",-0.31,"valid",8,"inhale","correct",0.363790299976245
"P124",-0.31,"invalid",9,"inhale","correct",0.370731899980456
"P124",0.31,"invalid",10,"inhale","correct",0.313723500003107
"P124",-0.31,"invalid",11,"inhale","correct",0.29633569996804
"P124",0.31,"valid",12,"inhale","correct",0.347602099995129
"P124",10,"catch",13,"inhale","correct",NA
"P124",-0.31,"invalid",14,"inhale","correct",0.366847499972209
"P124",-0.31,"valid",15,"inhale","correct",0.355837000068277
"P124",10,"catch",16,"inhale","correct",NA
"P124",10,"catch",17,"inhale","correct",NA
"P124",0.31,"invalid",18,"inhale","correct",0.448911899933591
"P124",10,"catch",19,"inhale","correct",NA
"P124",0.31,"invalid",20,"inhale","correct",0.373079600045457
"P124",-0.31,"valid",21,"inhale","correct",0.389655500068329
"P124",0.31,"valid",22,"inhale","correct",0.336334999999963
"P124",-0.31,"invalid",23,"inhale","correct",0.391638300032355
"P124",0.31,"valid",24,"inhale","correct",0.351250900072046
"P124",-0.31,"invalid",25,"inhale","correct",0.37893369991798
"P124",-0.31,"valid",26,"inhale","correct",0.328198799979873
"P124",0.31,"valid",27,"inhale","correct",0.339086899999529
"P124",10,"catch",28,"inhale","correct",NA
"P124",0.31,"valid",29,"inhale","correct",0.40737040003296
"P124",0.31,"valid",30,"inhale","correct",0.505226899986155
"P124",-0.31,"valid",31,"inhale","correct",0.431991100078449
"P124",0.31,"valid",32,"inhale","correct",0.318746500066482
"P124",-0.31,"invalid",33,"inhale","correct",0.386498300009407
"P124",10,"catch",34,"inhale","correct",NA
"P124",0.31,"valid",35,"inhale","correct",0.413062400068156
"P124",-0.31,"invalid",36,"inhale","correct",0.406033800099976
"P124",0.31,"invalid",37,"inhale","correct",0.432648399961181
"P124",0.31,"invalid",38,"inhale","correct",0.405442900024354
"P124",0.31,"valid",39,"inhale","correct",0.33343340002466
"P124",0.31,"invalid",40,"inhale","correct",0.400849199970253
"P124",10,"catch",41,"inhale","correct",NA
"P124",-0.31,"valid",42,"inhale","correct",0.355598800000735
"P124",10,"catch",43,"inhale","correct",NA
"P124",0.31,"invalid",44,"inhale","correct",0.461050399928354
"P124",0.31,"invalid",45,"inhale","correct",0.370626999996603
"P124",0.31,"valid",46,"inhale","correct",0.346831099945121
"P124",-0.31,"valid",47,"inhale","correct",0.353560499963351
"P124",-0.31,"invalid",48,"inhale","correct",0.380987800075673
"P124",10,"catch",49,"inhale","correct",NA
"P124",-0.31,"valid",50,"inhale","correct",0.359012400032952
"P124",-0.31,"valid",51,"inhale","correct",0.377355600008741
"P124",-0.31,"invalid",52,"inhale","correct",0.351702800020576
"P124",-0.31,"valid",53,"inhale","correct",0.367762100067921
"P124",10,"catch",54,"inhale","correct",NA
"P124",0.31,"invalid",55,"inhale","correct",0.417126299929805
"P124",-0.31,"valid",56,"inhale","correct",0.364339100080542
"P124",0.31,"valid",57,"inhale","correct",0.180636800010689
"P124",-0.31,"invalid",58,"inhale","correct",0.403542699990794
"P124",0.31,"invalid",59,"inhale","correct",0.363290300010704
