cue_img,cue_soa,target_x,trial,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready_txt.stopped,ready.stopped,fix.started,fixation.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,cue.started,cube.started,fixation_cross_cue.started,cue.stopped,target.started,fixation_target.started,fixation_cross_target.started,key_resp.started,star.started,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,star.stopped,fixation_target.stopped,fixation_cross_target.stopped,key_resp.stopped,cube.stopped,fixation_cross_cue.stopped,block1.key_control2.keys,block1.key_control2.rt,block1.key_control2.duration,block1.key_resp.keys,block1.key_resp.rt,block1.key_resp.duration,break_2.started,text.started,key_control3.started,text.stopped,break_2.stopped,key_control3.keys,key_control3.rt,key_control3.duration,block2.key_control2.keys,block2.key_control2.rt,block2.key_control2.duration,block2.key_resp.keys,block2.key_resp.rt,block2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007615300011821091,0.024743400048464537,0.024743400048464537,321.5505521000596,up,321.5155109000625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.5506034999853,321.56343850004487,324.563693300006,324.54417759994976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_l.png,0.1,-0.31,valid,0,0,0,down,4.616330200107768,None,space,0.4882697999710217,None,0,0,0,0,,,,,,,,,324.563693300006,,,,,,,,,,,,,324.5513906000415,324.563693300006,324.563693300006,324.563693300006,329.1900378999999,down,4.616330200107768,None,329.2012348000426,329.21141160000116,329.21141160000116,329.25602149998304,329.2562589000445,329.27236259996425,329.27236259996425,329.27236259996425,329.3560518999584,329.7724143000087,space,0.4882697999710217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_l.png,0.1,0.31,invalid,1,1,0,down,2.7277633999474347,None,space,0.4402329999720678,None,0,1,1,1,,,,,,,,,329.7887305000331,,,,,,,,,,,,,329.7725782999769,329.7887305000331,329.7887305000331,329.7887305000331,332.51952620001975,down,2.7277633999474347,None,332.5256231999956,332.5373099000426,332.5373099000426,332.5859137000516,332.58614130003843,332.60251989995595,332.60251989995595,332.60251989995595,332.6691772999475,333.0528007999528,space,0.4402329999720678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_r.png,0.1,-0.31,invalid,2,2,0,down,7.79187059996184,None,space,0.34892569994553924,None,0,2,2,2,,,,,,,,,333.06846900004894,,,,,,,,,,,,,333.0529695999576,333.06846900004894,333.06846900004894,333.06846900004894,340.86185190000106,down,7.79187059996184,None,340.86777699994855,340.87972710002214,340.87972710002214,340.9277952000266,340.92802989995107,340.94414759997744,340.94414759997744,340.94414759997744,341.02730399998836,341.29450469999574,space,0.34892569994553924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_r.png,0.1,10,catch,3,3,0,down,7.238172099925578,None,None,,,0,3,3,3,,,,,,,,,341.31028980005067,,,,,,,,,,,,,341.29466789995786,341.31028980005067,341.31028980005067,341.31028980005067,348.5535140000284,down,7.238172099925578,None,348.5593710000394,348.57094310002867,348.57094310002867,348.61963049997576,348.61986029997934,348.6361027000239,348.6361027000239,348.6361027000239,348.7194613000611,351.6334791999543,None,,,350.73393630003557,351.64969350001775,351.64969350001775,351.64969350001775,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_l.png,0.1,-0.31,valid,4,4,0,down,3.027312000049278,None,space,0.3521292000077665,None,0,4,4,4,,,,,,,,,351.64969350001775,,,,,,,,,,,,,351.63363099994604,351.64969350001775,351.64969350001775,351.64969350001775,354.68033160001505,down,3.027312000049278,None,354.68621610000264,354.6978811000008,354.6978811000008,354.7466176999733,354.7468583000591,354.76317239995115,354.76317239995115,354.76317239995115,354.8298246000195,355.13010249997023,space,0.3521292000077665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_l.png,0.1,0.31,invalid,5,5,0,down,7.7064343999372795,None,space,0.3196100000059232,None,0,5,5,5,,,,,,,,,355.14596760005224,,,,,,,,,,,,,355.1302720999811,355.14596760005224,355.14596760005224,355.14596760005224,362.85551749996375,down,7.7064343999372795,None,362.8612501999596,362.8728021000279,362.8728021000279,362.9212797000073,362.92151060001925,362.9381392999785,362.9381392999785,362.9381392999785,363.00462949997745,363.2718337000115,space,0.3196100000059232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_r.png,0.1,-0.31,invalid,6,6,0,down,8.684634800069034,None,space,0.40899639995768666,None,0,6,6,6,,,,,,,,,363.2877877999563,,,,,,,,,,,,,363.27199649997056,363.2877877999563,363.2877877999563,363.2877877999563,371.97957209998276,down,8.684634800069034,None,371.9854429999832,371.9974559999537,371.9974559999537,372.0456556000281,372.04588939994574,372.06216560001485,372.06216560001485,372.06216560001485,372.12845179997385,372.4785748999566,space,0.40899639995768666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_r.png,0.1,0.31,valid,7,7,0,down,9.333920700009912,None,space,0.32367399998474866,None,0,7,7,7,,,,,,,,,372.4949935999466,,,,,,,,,,,,,372.4787443999667,372.4949935999466,372.4949935999466,372.4949935999466,381.8356801000191,down,9.333920700009912,None,381.84151970001403,381.85288090002723,381.85288090002723,381.8859320000047,381.8861538999481,381.9019419000251,381.9019419000251,381.9019419000251,381.98528380005155,382.23601079999935,space,0.32367399998474866,None,,,,,381.9019419000251,381.9019419000251,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_l.png,0.1,-0.31,valid,8,8,0,down,5.67326419998426,None,space,0.4104628999484703,None,0,8,8,8,,,,,,,,,382.25170689995866,,,,,,,,,,,,,382.2361736999592,382.25170689995866,382.25170689995866,382.25170689995866,387.9296556999907,down,5.67326419998426,None,387.9354803999886,387.9471147999866,387.9471147999866,387.99605329998303,387.99628530000336,388.0126421999885,388.0126421999885,388.0126421999885,388.07923759997357,388.42965009994805,space,0.4104628999484703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_r.png,0.1,-0.31,invalid,9,9,0,down,2.9990958999842405,None,space,0.39592569996602833,None,0,9,9,9,,,,,,,,,388.4452232000185,,,,,,,,,,,,,388.4298128000228,388.4452232000185,388.4452232000185,388.4452232000185,391.4594984999858,down,2.9990958999842405,None,391.46524930000305,391.4767913999967,391.4767913999967,391.5255414999556,391.5257722999668,391.542305400013,391.542305400013,391.542305400013,391.60869539994746,391.94256760005374,space,0.39592569996602833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_r.png,0.1,0.31,valid,10,10,0,down,5.094762500026263,None,space,0.29007129999808967,None,0,10,10,10,,,,,,,,,391.95822459994815,,,,,,,,,,,,,391.94273060001433,391.95822459994815,391.95822459994815,391.95822459994815,397.0539021999575,down,5.094762500026263,None,397.0596926000435,397.07116870000027,397.07116870000027,397.1198077000445,397.1200411999598,397.1364167999709,397.1364167999709,397.1364167999709,397.2195922000101,397.4366612000158,space,0.29007129999808967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.43677130003925,397.45267699996475,400.45591619994957,400.43368729995564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_l.png,0.1,10,catch,0,0,0,down,9.276677799993195,None,space,0.2646476000081748,None,,,,,0,0,0,0,,,,,400.45591619994957,,,,,,,,,,,,,400.44714539998677,400.45591619994957,400.45591619994957,400.45591619994957,409.74043040000834,,,,409.7462320999475,409.75766180001665,409.75766180001665,409.79069259995595,409.7909163000295,409.80646770005114,409.80646770005114,409.80646770005114,409.8902460000245,410.07385409995914,,,,,,,,409.80646770005114,409.80646770005114,down,9.276677799993195,None,space,0.2646476000081748,None,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
cube_l.png,0.1,10,catch,1,1,0,down,8.979457600042224,None,None,,,,,,,0,1,1,1,,,,,410.08989409997594,,,,,,,,,,,,,410.0740309000248,410.08989409997594,410.08989409997594,410.08989409997594,419.083304699976,,,,419.10557240003254,419.11615819996223,419.11615819996223,419.1470921,419.14744019997306,419.1635217999574,419.1635217999574,419.1635217999574,419.2472621999914,422.1615810999647,,,,421.26198489998933,422.17731800000183,422.17731800000183,422.17731800000183,,,down,8.979457600042224,None,None,,,,,,,,,,,,,,,,,P124,001,2025-02-25_14h49.56.329,posner_endo_new1,2024.2.4,60.04924040253803,2025-02-25 14h50.03.739167 +0000,
