cue_img,cue_soa,target_x,trial,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready_txt.stopped,ready.stopped,fix.started,fixation.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,cue.started,cube.started,fixation_cross_cue.started,cue.stopped,target.started,fixation_target.started,fixation_cross_target.started,key_resp.started,star.started,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,block1.key_control2.keys,block1.key_control2.rt,block1.key_control2.duration,block1.key_resp.keys,block1.key_resp.rt,block1.key_resp.duration,star.stopped,fixation_target.stopped,fixation_cross_target.stopped,key_resp.stopped,break_2.started,text.started,key_control3.started,text.stopped,break_2.stopped,key_control3.keys,key_control3.rt,key_control3.duration,block2.key_control2.keys,block2.key_control2.rt,block2.key_control2.duration,block2.key_resp.keys,block2.key_resp.rt,block2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007557200035080314,0.025246300036087632,0.025246300036087632,478.0908034000313,up,478.04819460003637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P130,001,2025-02-28_08h55.12.988,posner_endo_new1,2024.2.4,60.03388311605669,2025-02-28 08h55.20.806246 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.0908564000856,478.103635400068,481.1039655000204,481.08436820004135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P130,001,2025-02-28_08h55.12.988,posner_endo_new1,2024.2.4,60.03388311605669,2025-02-28 08h55.20.806246 +0000,
cube_l.png,0.1,-0.31,valid,0,0,0,down,15.1933260000078,None,space,0.23591069993562996,None,0,0,0,0,,,,,,,,,481.1039655000204,,,,,,,,,,,,,481.09189120004885,481.1039655000204,481.1039655000204,481.1039655000204,496.3024016000563,down,15.1933260000078,None,496.3169796000002,496.327123700059,496.327123700059,496.3683735000668,496.3686152000446,496.38492360000964,496.38492360000964,496.38492360000964,496.45151510008145,496.6355843000347,space,0.23591069993562996,None,,,,,,,,,,,,,,,,,,,,,,,,,P130,001,2025-02-28_08h55.12.988,posner_endo_new1,2024.2.4,60.03388311605669,2025-02-28 08h55.20.806246 +0000,
cube_l.png,0.1,0.31,invalid,1,1,0,down,1.838291099993512,None,space,0.8119514000136405,None,0,1,1,1,,,,,,,,,496.6513689000858,,,,,,,,,,,,,496.63575540005695,496.6513689000858,496.6513689000858,496.6513689000858,498.5001965999836,down,1.838291099993512,None,498.5064920000732,498.5180645000655,498.5180645000655,498.566109300009,498.5663457000628,498.5826781000942,498.5826781000942,498.5826781000942,498.64923219999764,499.39950719999615,space,0.8119514000136405,None,,,,,,,,,,,,,,,,,,,,,,,,,P130,001,2025-02-28_08h55.12.988,posner_endo_new1,2024.2.4,60.03388311605669,2025-02-28 08h55.20.806246 +0000,
cube_r.png,0.1,-0.31,invalid,2,2,0,down,4.826005199924111,None,space,0.3179725999943912,None,0,2,2,2,,,,,,,,,499.4152304000454,,,,,,,,,,,,,499.3996853000717,499.4152304000454,499.4152304000454,499.4152304000454,504.24456660007127,down,4.826005199924111,None,504.252849600045,504.2632908000378,504.2632908000378,504.31016750005074,504.3104035999859,504.3268414000049,504.3268414000049,504.3268414000049,504.41022910003085,504.6605480000144,space,0.3179725999943912,None,,,,,,,,,,,,,,,,,,,,,,,,,P130,001,2025-02-28_08h55.12.988,posner_endo_new1,2024.2.4,60.03388311605669,2025-02-28 08h55.20.806246 +0000,
cube_r.png,0.1,10,catch,3,3,0,down,5.94901129999198,None,space,0.6022965000011027,None,0,3,3,3,,,,,,,,,504.6764770000009,,,,,,,,,,,,,504.66071760002524,504.6764770000009,504.6764770000009,504.6764770000009,510.6378799000522,down,5.94901129999198,None,510.6439364000689,510.65551100007724,510.65551100007724,510.70384309999645,510.704079200048,510.72037930006627,510.72037930006627,510.72037930006627,510.78683090000413,511.33706619997974,space,0.6022965000011027,None,,,,,,,,,,,,,,,,,,,,,,,,,P130,001,2025-02-28_08h55.12.988,posner_endo_new1,2024.2.4,60.03388311605669,2025-02-28 08h55.20.806246 +0000,
cube_l.png,0.1,-0.31,valid,4,4,0,down,8.8414877000032,None,space,0.4159248999785632,None,0,4,4,4,,,,,,,,,511.352900100057,,,,,,,,,,,,,511.3372420000378,511.352900100057,511.352900100057,511.352900100057,520.2113189999945,down,8.8414877000032,None,520.2174131000647,520.2286430000095,520.2286430000095,520.2773166000843,520.2775531000225,520.293747000047,520.293747000047,520.293747000047,520.3607482000953,520.7111681000097,space,0.4159248999785632,None,,,,,,,,,,,,,,,,,,,,,,,,,P130,001,2025-02-28_08h55.12.988,posner_endo_new1,2024.2.4,60.03388311605669,2025-02-28 08h55.20.806246 +0000,
cube_l.png,0.1,0.31,invalid,5,5,0,down,7.674889799905941,None,space,0.3674598999787122,None,0,5,5,5,,,,,,,,,520.7267544000642,,,,,,,,,,,,,520.711339200032,520.7267544000642,520.7267544000642,520.7267544000642,528.4033503000392,down,7.674889799905941,None,528.409635100048,528.4212149999803,528.4212149999803,528.4689392000437,528.4691843000473,528.4854854000732,528.4854854000732,528.4854854000732,528.5688346000388,528.8692290000618,space,0.3674598999787122,None,,,,,,,,,,,,,,,,,,,,,,,,,P130,001,2025-02-28_08h55.12.988,posner_endo_new1,2024.2.4,60.03388311605669,2025-02-28 08h55.20.806246 +0000,
cube_r.png,0.1,-0.31,invalid,6,6,0,down,6.740544300060719,None,space,0.2854970000917092,None,0,6,6,6,,,,,,,,,528.8851636000909,,,,,,,,,,,,,528.8694069000194,528.8851636000909,528.8851636000909,528.8851636000909,535.6289984000614,down,6.740544300060719,None,535.6350228000665,535.6465437000152,535.6465437000152,535.6949950000271,535.6952299000695,535.7115577000659,535.7115577000659,535.7115577000659,535.7946708999807,536.0118905000854,space,0.2854970000917092,None,,,,,,,,,,,,,,,,,,,,,,,,,P130,001,2025-02-28_08h55.12.988,posner_endo_new1,2024.2.4,60.03388311605669,2025-02-28 08h55.20.806246 +0000,
cube_r.png,0.1,0.31,valid,7,7,0,down,7.7656523999758065,None,space,0.3111788999522105,None,0,7,7,7,,,,,,,,,536.0277728000656,,,,,,,,,,,,,536.012063000002,536.0277728000656,536.0277728000656,536.0277728000656,543.8040544000687,down,7.7656523999758065,None,543.810092800064,543.8216993000824,543.8216993000824,543.8698992000427,543.8701383000007,543.8864707000321,543.8864707000321,543.8864707000321,543.9696580000455,544.2035346000921,space,0.3111788999522105,None,,,,,,,,,,,,,,,,,,,,,,,,,P130,001,2025-02-28_08h55.12.988,posner_endo_new1,2024.2.4,60.03388311605669,2025-02-28 08h55.20.806246 +0000,
