cue_img,cue_soa,target_y,trial,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready_txt.stopped,ready.stopped,fix.started,fixation.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,cue.started,cube.started,fixation_cross_cue.started,cue.stopped,target.started,fixation_target.started,fixation_cross_target.started,key_resp.started,star.started,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,star.stopped,fixation_target.stopped,fixation_cross_target.stopped,key_resp.stopped,block1.key_control2.keys,block1.key_control2.rt,block1.key_control2.duration,block1.key_resp.keys,block1.key_resp.rt,block1.key_resp.duration,cube.stopped,fixation_cross_cue.stopped,break_2.started,text.started,key_control3.started,text.stopped,break_2.stopped,key_control3.keys,key_control3.rt,key_control3.duration,block2.key_control2.keys,block2.key_control2.rt,block2.key_control2.duration,block2.key_resp.keys,block2.key_resp.rt,block2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007540099999914673,0.023863500000061322,0.023863500000061322,504.96256730000005,up,504.92226100000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.96261669999967,504.9756282999997,507.9759720000002,507.9565555999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_r.png,0.1,0.31,valid,0,0,0,up,27.666534400000273,None,space,0.6694792999996935,None,0,0,0,7,,,,,,,,,507.9759720000002,,,,,,,,,,,,,507.9639524000004,507.9759720000002,507.9759720000002,507.9759720000002,535.6450926999996,up,27.666534400000273,None,535.6576677000003,535.6680069000004,535.6680069000004,535.7109959,535.7112305,535.7275577,535.7275577,535.7275577,535.8108393000002,536.4109626999998,space,0.6694792999996935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_r.png,0.1,0.31,valid,1,1,0,up,5.575208300000668,None,space,0.34082779999971535,None,0,1,1,10,,,,,,,,,536.4270158999998,,,,,,,,,,,,,536.4111252000002,536.4270158999998,536.4270158999998,536.4270158999998,542.0050571000002,up,5.575208300000668,None,542.0116578999996,542.0232273000001,542.0232273000001,542.0712695000002,542.0715067000001,542.0876404,542.0876404,542.0876404,542.1542,542.4382395000002,space,0.34082779999971535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_l.png,0.1,0.31,invalid,2,2,0,up,14.612487999999757,None,space,0.49181380000027275,None,0,2,2,5,,,,,,,,,542.4539234000003,,,,,,,,,,,,,542.4384033999995,542.4539234000003,542.4539234000003,542.4539234000003,557.0732196999998,up,14.612487999999757,None,557.0797782,557.0919286999997,557.0919286999997,557.1391759999997,557.1394070999995,557.1557784999995,557.1557784999995,557.1557784999995,557.2221559999998,557.6560121000002,space,0.49181380000027275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_l.png,0.1,0.31,invalid,3,3,0,up,8.041923199999474,None,space,0.5510585000001811,None,0,3,3,1,,,,,,,,,557.6718410000003,,,,,,,,,,,,,557.6561736000003,557.6718410000003,557.6718410000003,557.6718410000003,565.7144865999999,up,8.041923199999474,None,565.7205403999997,565.7323630000001,565.7323630000001,565.7803155000001,565.7805452000002,565.7968035000004,565.7968035000004,565.7968035000004,565.8801149999999,566.3634439999996,space,0.5510585000001811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_l.png,0.1,-0.31,valid,4,4,0,up,4.454631300000074,None,space,0.4496457000004739,None,0,4,4,8,,,,,,,,,566.3794909999997,,,,,,,,,,,,,566.3636041999998,566.3794909999997,566.3794909999997,566.3794909999997,570.8426803000002,up,4.454631300000074,None,570.8488874000004,570.8607100999998,570.8607100999998,570.9083498999998,570.9085790999998,570.9250204999998,570.9250204999998,570.9250204999998,571.0084219,571.3753972000004,space,0.4496457000004739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_l.png,0.1,-0.31,valid,5,5,0,up,8.55553080000027,None,space,0.34992810000039754,None,0,5,5,4,,,,,,,,,571.3911072999999,,,,,,,,,,,,,571.3755584999999,571.3911072999999,571.3911072999999,571.3911072999999,579.9495758000003,up,8.55553080000027,None,579.9556890000003,579.9672244000003,579.9672244000003,580.0157152000002,580.0159464999997,580.0322861000004,580.0322861000004,580.0322861000004,580.0988522999996,580.3829311,space,0.34992810000039754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_r.png,0.1,-0.31,invalid,6,6,0,up,15.874884800000473,None,space,0.2814050999995743,None,0,6,6,6,,,,,,,,,580.3987858999999,,,,,,,,,,,,,580.3830916999996,580.3987858999999,580.3987858999999,580.3987858999999,596.2832882000002,up,15.874884800000473,None,596.2895267000004,596.3012021000004,596.3012021000004,596.3490601000003,596.3492949000001,596.3657401999999,596.3657401999999,596.3657401999999,596.4322019000001,596.6495758000001,space,0.2814050999995743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_r.png,0.1,-0.31,invalid,7,7,0,up,6.497045600000092,None,space,0.4052831999997579,None,0,7,7,2,,,,,,,,,596.6652604000001,,,,,,,,,,,,,596.6497370999996,596.6652604000001,596.6652604000001,596.6652604000001,603.1762239,up,6.497045600000092,None,603.1823032000002,603.1941657999996,603.1941657999996,603.2420498000001,603.2422821999999,603.2588004999998,603.2588004999998,603.2588004999998,603.3253566000003,603.6757286000002,space,0.4052831999997579,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_r.png,0.1,-0.31,invalid,8,8,0,up,6.15916339999967,None,space,0.3457915999997567,None,0,8,8,9,,,,,,,,,603.6914919000001,,,,,,,,,,,,,603.6758958,603.6914919000001,603.6914919000001,603.6914919000001,609.8528313999996,up,6.15916339999967,None,609.8589498000001,609.8709176000002,609.8709176000002,609.9187647999997,609.9189964999996,609.9352074999997,609.9352074999997,609.9352074999997,610.0183968000001,610.2855989999998,space,0.3457915999997567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_r.png,0.1,10,catch,9,9,0,up,6.213426100000106,None,None,,,0,9,9,3,,,,,,,,,610.3012582000001,,,,,,,,,,,,,610.2857597000002,610.3012582000001,610.3012582000001,610.3012582000001,616.5291926999998,up,6.213426100000106,None,616.5352419000001,616.5467646999996,616.5467646999996,616.5952102000001,616.5954398000003,616.6118811999995,616.6118811999995,616.6118811999995,616.6783764000002,619.6088927000001,None,,,618.6927698,619.6253174000003,619.6253174000003,619.6253174000003,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_l.png,0.1,-0.31,valid,10,10,0,up,10.537356199999522,None,space,0.42868369999996503,None,0,10,10,0,,,,,,,,,619.6253174000003,,,,,,,,,,,,,619.6090451999999,619.6253174000003,619.6253174000003,619.6253174000003,630.1653090999998,up,10.537356199999522,None,630.1713952999999,630.1831375000002,630.1831375000002,630.2310950000001,630.2313297999999,630.2477613000001,630.2477613000001,630.2477613000001,630.3144462,630.6813136000001,space,0.42868369999996503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.6814293999996,630.6972905000002,633.6977432000003,633.6780044999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_l.png,0.1,10,catch,0,0,0,up,19.45675240000037,None,None,,,,,,,0,0,0,0,,,,,633.6977432000003,,,,,,,,,,,,,633.6890460000004,633.6977432000003,633.6977432000003,633.6977432000003,653.1585039000001,,,,653.1646186999997,653.1763934,653.1763934,653.2243703000004,653.2246063000002,653.2411046999996,653.2411046999996,653.2411046999996,653.3075519000004,656.2385855000002,,,,655.3223398,656.2546284,656.2546284,656.2546284,up,19.45675240000037,None,None,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
cube_l.png,0.1,10,catch,1,1,0,up,8.740008600000692,None,None,,,,,,,0,1,1,1,,,,,656.2546284,,,,,,,,,,,,,656.2387394999996,656.2546284,656.2546284,656.2546284,664.9964619000002,,,,665.0024993999996,665.0142512000002,665.0142512000002,665.0623648000001,665.0625977,665.0788118999999,665.0788118999999,665.0788118999999,665.1620315,668.0761880999999,,,,667.1768180999998,668.0925068999995,668.0925068999995,668.0925068999995,up,8.740008600000692,None,None,,,,,,,,,,,,,,,,,,,P142,001,2025-04-09_09h58.21.000,posner_endo_new1,2024.2.4,60.05829257867202,2025-04-09 09h58.32.565324 +0100,
